DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Solomon Jones,Orl,Min,R,22,2,3,0,0,0,2,6,2,8,0,2,0,1,1,4
Regular Season,Corey Brewer,Min,Orl,H,39.4,7,11,1,4,1,3,1,2,3,2,2,3,3,0,16
Regular Season,Kevin Love,Min,Orl,H,40.4,8,19,3,8,12,16,4,13,17,4,3,0,1,0,31
Regular Season,Nikola Pekovic,Min,Orl,H,29.4,5,11,0,0,1,1,1,6,7,0,3,0,2,0,11
Regular Season,Kevin Martin,Min,Orl,H,43.2,6,19,2,7,9,9,0,2,2,3,1,0,1,0,23
Regular Season,Ricky Rubio,Min,Orl,H,40.1,5,15,1,3,2,2,2,4,6,11,3,3,4,1,13
Regular Season,Ronny Turiaf,Min,Orl,H,15.3,1,4,0,0,1,1,1,2,3,1,3,1,0,1,3
Regular Season,Jose Barea,Min,Orl,H,20,4,9,1,2,2,2,1,1,2,4,2,0,1,0,11
Regular Season,Alexey Shved,Min,Orl,H,15.5,1,5,0,1,0,0,1,2,3,2,0,0,2,0,2
Regular Season,Dante Cunningham,Min,Orl,H,20.1,5,7,0,0,0,0,3,3,6,0,2,0,0,1,10
Regular Season,Paul George,Ind,Nor,R,39.3,9,19,4,11,10,13,0,6,6,5,2,2,2,0,32
Regular Season,David West,Ind,Nor,R,33.2,3,11,0,0,6,6,0,7,7,5,3,1,3,2,12
Regular Season,Roy Hibbert,Ind,Nor,R,21.4,2,5,0,0,2,3,2,2,4,1,5,0,2,5,6
Regular Season,Lance Stephenson,Ind,Nor,R,41.2,7,12,2,4,0,0,2,6,8,4,1,0,2,0,16
Regular Season,George Hill,Ind,Nor,R,35.4,6,13,4,7,3,4,0,1,1,4,4,1,3,0,19
Regular Season,Ian Mahinmi,Ind,Nor,R,24.1,0,3,0,0,0,0,1,6,7,0,1,1,1,4,0
Regular Season,Orlando Johnson,Ind,Nor,R,12.4,0,2,0,1,2,2,0,0,0,0,0,0,0,0,2
Regular Season,C.J. Watson,Ind,Nor,R,15.1,0,1,0,0,2,2,0,2,2,0,0,0,0,0,2
Regular Season,Luis Scola,Ind,Nor,R,16.4,3,4,0,0,0,0,1,1,2,0,2,0,3,1,6
Regular Season,Al-Farouq Aminu,Nor,Ind,H,23.1,0,2,0,1,1,2,0,4,4,2,5,2,1,0,1
Regular Season,Anthony Davis,Nor,Ind,H,37.4,8,20,0,0,4,4,7,5,12,0,4,1,4,3,20
Regular Season,Jason Smith,Nor,Ind,H,20.3,4,6,0,0,0,0,1,1,2,1,6,0,0,1,8
Regular Season,Eric Gordon,Nor,Ind,H,33.3,8,19,3,5,6,9,1,2,3,1,0,2,1,0,25
Regular Season,Jrue Holiday,Nor,Ind,H,36.1,8,18,2,4,6,6,0,7,7,5,3,1,2,0,24
Regular Season,Tyreke Evans,Nor,Ind,H,22.4,2,8,0,0,0,0,0,2,2,3,2,0,3,0,4
Regular Season,Greg Stiemsma,Nor,Ind,H,14.6,1,2,0,0,0,0,4,1,5,0,4,1,2,1,2
Regular Season,Anthony Morrow,Nor,Ind,H,14,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2
Regular Season,Brian Roberts,Nor,Ind,H,14.4,1,2,0,0,0,0,0,1,1,2,1,0,0,0,2
Regular Season,Lance Thomas,Nor,Ind,H,7.1,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0
Regular Season,Arinze Onuaku,Nor,Ind,H,15.3,1,3,0,0,0,0,1,4,5,3,3,0,1,0,2
Regular Season,DeMarre Carroll,Atl,Dal,R,34.3,3,7,2,4,6,8,1,6,7,1,1,3,2,0,14
Regular Season,Paul Millsap,Atl,Dal,R,35.5,9,15,0,2,2,4,2,3,5,3,4,1,2,1,20
Regular Season,Al Horford,Atl,Dal,R,31.6,5,12,0,0,1,2,1,4,5,3,1,5,3,4,11
Regular Season,Kyle Korver,Atl,Dal,R,35.4,3,9,1,4,1,1,0,5,5,3,1,2,0,0,8
Regular Season,Jeff Teague,Atl,Dal,R,34.2,7,13,1,4,9,12,0,2,2,9,3,4,6,0,24
Regular Season,Mike Scott,Atl,Dal,R,7.2,0,1,0,0,0,0,0,1,1,0,4,0,2,0,0
Regular Season,Dennis Schroeder,Atl,Dal,R,18.3,2,5,1,2,0,0,0,4,4,5,3,0,2,0,5
Regular Season,Elton Brand,Atl,Dal,R,13,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8
